,Mkt-RF,SMB,HML,RF,F_PRC,F_DIV,TM_PRC,TM_DIV,F_RET,F_DY,F_CG,TM_RET,TM_DY,TM_CG
200211,0.0596,0.0326,-0.015,0.0012,6.6923,0.0,37.4147,0.0,0.34515889127856725,0.0,0.34515889127856725,0.08847513346036928,0.0,0.08847513346036928
200212,-0.0576,-0.0002,0.0239,0.0011,5.4691,0.0,37.4855,0.0,-0.18277722158301335,0.0,-0.18277722158301335,0.001892304361654551,0.0,0.001892304361654551
200301,-0.0257,0.0134,-0.0072,0.001,5.4144,0.1,33.8076,0.0,0.008282898465926669,0.018284544074893494,-0.01000164560896677,-0.09811527123821218,0.0,-0.09811527123821218
200302,-0.0188,-0.0044,-0.012700000000000001,0.0009,4.9449,0.0,33.5813,0.0,-0.08671320921985815,0.0,-0.08671320921985815,-0.006693761166128409,0.0,-0.006693761166128409
200303,0.010900000000000002,0.0091,-0.020800000000000003,0.001,4.4694,0.0,31.9892,0.3,-0.09615967966996286,0.0,-0.09615967966996286,-0.03847677129831184,0.008933543370864142,-0.047410314669176
200304,0.08220000000000001,0.006999999999999999,0.0092,0.001,6.1811,0.1,32.224,0.0,0.40535642368103075,0.022374367924106145,0.3829820557569248,0.007339977242319273,0.0,0.007339977242319273
200305,0.0605,0.0455,0.0012,0.0009,6.3012,0.0,33.932,0.0,0.019430198508356034,0.0,0.019430198508356034,0.053003972194637816,0.0,0.053003972194637816
200306,0.014199999999999999,0.0183,0.0042,0.001,6.5952,0.0,36.8641,0.0,0.04665777947057714,0.0,0.04665777947057714,0.0864110574089354,0.0,0.0864110574089354
200307,0.0235,0.0521,-0.0106,0.0007000000000000001,6.6995,0.1,36.5082,0.0,0.030977074235807756,0.015162542455118874,0.015814531780688812,-0.009654379192764684,0.0,-0.009654379192764684
200308,0.0234,0.027000000000000003,0.0158,0.0007000000000000001,7.0024,0.0,39.4189,0.0,0.04521232927830443,0.0,0.04521232927830443,0.07972729414213786,0.0,0.07972729414213786
200309,-0.0124,0.006999999999999999,0.0008,0.0008,6.5239,0.0,42.6093,0.3281,-0.06833371415514677,0.0,-0.06833371415514677,0.08925921322005426,0.008323418461702382,0.08093579475835178
200310,0.0608,0.026400000000000003,0.0183,0.0007000000000000001,7.4068,0.1,41.5145,0.0,0.15066141418476664,0.015328254571651927,0.13533315961311465,-0.025693921280096066,0.0,-0.025693921280096066
200311,0.013500000000000002,0.02,0.0181,0.0007000000000000001,8.0602,0.0,42.6236,0.0,0.08821623373116605,0.0,0.08821623373116605,0.026715966710426642,0.0,0.026715966710426642
200312,0.0429,-0.0276,0.0161,0.0008,9.7699,0.0,49.192,0.0,0.2121163246569564,0.0,0.2121163246569564,0.1541024221323397,0.0,0.1541024221323397
200401,0.0215,0.025099999999999997,0.024900000000000002,0.0007000000000000001,8.9354,0.1,47.5106,0.0,-0.07517988925168129,0.01023551929907164,-0.0854154085507528,-0.03418035452919177,0.0,-0.03418035452919177
200402,0.013999999999999999,-0.015600000000000001,0.0086,0.0006,8.4499,0.0,49.4639,0.0,-0.05433444501645146,0.0,-0.05433444501645146,0.04111293058812149,0.0,0.04111293058812149
200403,-0.013200000000000002,0.0175,0.0025,0.0009,8.3393,0.0,53.6196,0.4291,-0.01308891229482001,0.0,-0.01308891229482001,0.09268982025274997,0.008675013494690065,0.08401480675805972
