date,ticker,ret
2013-11-01,UTX,0.0489
2013-11-01,PG,0.043
2013-11-01,DOW,-0.0104
2013-11-01,CAT,0.0149
2013-11-01,WBA,0.0046
2013-11-01,BA,0.0325
2013-11-01,PFE,0.0419
2013-11-01,JNJ,0.0293
2013-11-01,MMM,0.0659
2013-11-01,MRK,0.1051
2013-11-01,DIS,0.0284
2013-11-01,MCD,0.0172
2013-11-01,JPM,0.1102
2013-11-01,WMT,0.0555
2013-11-01,NKE,0.0446
2013-11-01,AXP,0.0489
2013-11-01,INTC,-0.0166
2013-11-01,TRV,0.0514
2013-11-01,VZ,-0.0176
2013-11-01,HD,0.0357
2013-11-01,CSCO,-0.0581
2013-11-01,GS,0.0536
2013-11-01,V,0.0366
2013-11-01,UNH,0.0911
2013-12-01,MSFT,-0.0189
2013-12-01,KO,0.0279
2013-12-01,XOM,0.0826
2013-12-01,IBM,0.0439
2013-12-01,CVX,0.0202
2013-12-01,AAPL,0.0089
2013-12-01,UTX,0.0265
2013-12-01,PG,-0.0334
2013-12-01,DOW,0.1449
2013-12-01,CAT,0.0734
2013-12-01,WBA,-0.0297
2013-12-01,BA,0.0167
2013-12-01,PFE,-0.0347
2013-12-01,JNJ,-0.0324
2013-12-01,MMM,0.0505
2013-12-01,MRK,0.0132
2013-12-01,DIS,0.0953
2013-12-01,MCD,-0.0035
2013-12-01,JPM,0.022
2013-12-01,WMT,-0.0228
2013-12-01,NKE,-0.0033
2013-12-01,AXP,0.0575
2013-12-01,INTC,0.0887
2013-12-01,TRV,0.0033
2013-12-01,VZ,-0.0097
2013-12-01,HD,0.0255
2013-12-01,CSCO,0.0555
2013-12-01,GS,0.0492
2013-12-01,V,0.0945
2013-12-01,UNH,0.0148
2014-01-01,MSFT,0.0115
2014-01-01,KO,-0.0845
2014-01-01,XOM,-0.0893
2014-01-01,IBM,-0.0581
2014-01-01,CVX,-0.1063
2014-01-01,AAPL,-0.1077
2014-01-01,UTX,0.0019
2014-01-01,PG,-0.0514
2014-01-01,DOW,0.025
2014-01-01,CAT,0.0407
2014-01-01,WBA,-0.0016
2014-01-01,BA,-0.0823
2014-01-01,PFE,-0.0075
2014-01-01,JNJ,-0.0341
2014-01-01,MMM,-0.086
2014-01-01,MRK,0.0583
2014-01-01,DIS,-0.0496
2014-01-01,MCD,-0.0295
2014-01-01,JPM,-0.0469
2014-01-01,WMT,-0.051
2014-01-01,NKE,-0.0736
2014-01-01,AXP,-0.0604
2014-01-01,INTC,-0.0545
2014-01-01,TRV,-0.1023
2014-01-01,VZ,-0.012
2014-01-01,HD,-0.0667
2014-01-01,CSCO,-0.0156
2014-01-01,GS,-0.0741
2014-01-01,V,-0.0326
2014-01-01,UNH,-0.0401
2014-02-01,MSFT,0.0198
2014-02-01,KO,0.01
2014-02-01,XOM,0.0514
2014-02-01,IBM,0.0534
2014-02-01,CVX,0.0421
2014-02-01,AAPL,0.0573
2014-02-01,UTX,0.0315
2014-02-01,PG,0.0266
2014-02-01,DOW,0.0703
2014-02-01,CAT,0.0326
2014-02-01,WBA,0.1903
2014-02-01,BA,0.035
2014-02-01,PFE,0.0648
2014-02-01,JNJ,0.0487
2014-02-01,MMM,0.0577
2014-02-01,MRK,0.0759
2014-02-01,DIS,0.1129
2014-02-01,MCD,0.019
2014-02-01,JPM,0.0264
2014-02-01,WMT,0.0003
2014-02-01,NKE,0.0781
2014-02-01,AXP,0.0736
2014-02-01,INTC,0.0181
2014-02-01,TRV,0.0315
2014-02-01,VZ,-0.0092
2014-02-01,HD,0.0674
2014-02-01,CSCO,-0.005
2014-02-01,GS,0.0175
2014-02-01,V,0.0506
2014-02-01,UNH,0.069
2014-03-01,MSFT,0.07
2014-03-01,KO,0.02
2014-03-01,XOM,0.0146
2014-03-01,IBM,0.0395
2014-03-01,CVX,0.031
2014-03-01,AAPL,0.02
2014-03-01,UTX,-0.0015
2014-03-01,PG,0.0247
2014-03-01,DOW,0.0051
2014-03-01,CAT,0.0248
2014-03-01,WBA,-0.0283
2014-03-01,BA,-0.0266
2014-03-01,PFE,0.0003
2014-03-01,JNJ,0.0663
2014-03-01,MMM,0.0069
2014-03-01,MRK,0.0039
2014-03-01,DIS,-0.0092
2014-03-01,MCD,0.0303
2014-03-01,JPM,0.0685
2014-03-01,WMT,0.0296
2014-03-01,NKE,-0.0567
2014-03-01,AXP,-0.0137
2014-03-01,INTC,0.0426
2014-03-01,TRV,0.021
2014-03-01,VZ,-0.0002
2014-03-01,HD,-0.0296
2014-03-01,CSCO,0.0282
2014-03-01,GS,-0.0156
2014-03-01,V,-0.0446
2014-03-01,UNH,0.0647
2014-04-01,MSFT,-0.0144
2014-04-01,KO,0.0551
2014-04-01,XOM,0.0484
2014-04-01,IBM,0.0207
2014-04-01,CVX,0.0556
2014-04-01,AAPL,0.0994
2014-04-01,UTX,0.0128
2014-04-01,PG,0.0322
2014-04-01,DOW,0.027
2014-04-01,CAT,0.0667
2014-04-01,WBA,0.0283
2014-04-01,BA,0.0281
2014-04-01,PFE,-0.0262
2014-04-01,JNJ,0.0312
2014-04-01,MMM,0.0253
2014-04-01,MRK,0.0315
2014-04-01,DIS,-0.0091
2014-04-01,MCD,0.0342
2014-04-01,JPM,-0.0717
2014-04-01,WMT,0.0429
2014-04-01,NKE,-0.0123
2014-04-01,AXP,-0.0263
2014-04-01,INTC,0.0339
2014-04-01,TRV,0.0644
2014-04-01,VZ,-0.0065
2014-04-01,HD,0.0048
2014-04-01,CSCO,0.0395
2014-04-01,GS,-0.0246
2014-04-01,V,-0.0614
2014-04-01,UNH,-0.0848
2014-05-01,MSFT,0.0203
2014-05-01,KO,0.0029
2014-05-01,XOM,-0.0116
2014-05-01,IBM,-0.056
2014-05-01,CVX,-0.0132
2014-05-01,AAPL,0.0783
2014-05-01,UTX,-0.0128
2014-05-01,PG,-0.0213
2014-05-01,DOW,0.0445
2014-05-01,CAT,-0.0301
2014-05-01,WBA,0.0637
2014-05-01,BA,0.0539
2014-05-01,PFE,-0.0444
2014-05-01,JNJ,0.0086
2014-05-01,MMM,0.031
2014-05-01,MRK,-0.012
2014-05-01,DIS,0.0589
2014-05-01,MCD,0.0085
2014-05-01,JPM,-0.0073
2014-05-01,WMT,-0.0309
2014-05-01,NKE,0.0576
2014-05-01,AXP,0.0466
2014-05-01,INTC,0.032
2014-05-01,TRV,0.0317
2014-05-01,VZ,0.0691
2014-05-01,HD,0.0091
2014-05-01,CSCO,0.0653
2014-05-01,GS,0.0034
2014-05-01,V,0.0623
2014-05-01,UNH,0.0612
2014-06-01,MSFT,0.0186
2014-06-01,KO,0.0429
2014-06-01,XOM,0.0015
2014-06-01,IBM,-0.0168
2014-06-01,CVX,0.0632
2014-06-01,AAPL,0.0277
2014-06-01,UTX,-0.0066
2014-06-01,PG,-0.0272
2014-06-01,DOW,-0.0056
2014-06-01,CAT,0.063
2014-06-01,WBA,0.0309
2014-06-01,BA,-0.0593
2014-06-01,PFE,0.0017
2014-06-01,JNJ,0.0311
2014-06-01,MMM,0.0048
2014-06-01,MRK,0.0074
2014-06-01,DIS,0.0206
2014-06-01,MCD,-0.0068
2014-06-01,JPM,0.0369
2014-06-01,WMT,-0.0221
2014-06-01,NKE,0.0083
2014-06-01,AXP,0.0368
2014-06-01,INTC,0.131
2014-06-01,TRV,0.0125
2014-06-01,VZ,-0.0206
2014-06-01,HD,0.015
2014-06-01,CSCO,0.0093
2014-06-01,GS,0.0477
2014-06-01,V,-0.0192
2014-06-01,UNH,0.0313
2014-07-01,MSFT,0.035
2014-07-01,KO,-0.0725
